word,count,freq
evidence,484,70
islamic,485,70
taxes,486,70
ixexxve,487,70
thought,488,70
idea,489,70
became,490,70
start,491,70
rate,492,69
along,493,69
strong,494,69
speech,495,69
went,496,69
california,497,69
growing,498,68
xexxci,499,68
line,500,68
talk,501,68
billion,502,68
wants,503,67
address,504,67
let,505,67
millions,506,67
continue,507,67
numbers,508,67
chief,509,67
countryxexxs,510,66
tell,511,66
four,512,66
spending,513,66
higher,514,66
weapons,515,66
labor,516,66
rule,517,65
study,518,65
services,519,65
energy,520,65
face,521,65
information,522,65
old,523,65
supreme,524,64
action,525,64
record,526,64
senator,527,64
department,528,64
second,529,64
order,530,64
ted,531,64
using,532,64
democrats,533,63
interest,534,63
teachers,535,63
began,536,63
further,537,63
age,538,63
safety,539,63
role,540,63
view,541,63
running,542,62
whole,543,62
executive,544,62
class,545,62
words,546,62
open,547,62
turn,548,62
taken,549,62
try,550,62
cause,551,62
story,552,62
immigrants,553,61
test,554,61
known,555,61
effective,556,61
rise,557,61
protect,558,61
per,559,61
wexexxre,560,61
means,561,61
central,562,60
based,563,60
bad,564,60
legal,565,60
liberal,566,60
led,567,60
person,568,60
benefits,569,60
getting,570,60
increase,571,60
washington,572,60
able,573,59
israel,574,59
hours,575,59
talking,576,59
sexual,577,59
five,578,59
coming,579,59
page,580,59
weeks,581,59
result,582,59
student,583,59
service,584,59
wall,585,59
itself,586,58
criminal,587,58
similar,588,58
single,589,58
bernie,590,58
parents,591,58
americaxexxs,592,58
personal,593,57
attention,594,57
population,595,57
climate,596,57
attacks,597,57
market,598,57
leader,599,57
full,600,57
obamaxexxs,601,57
late,602,57
side,603,57
anything,604,57
industry,605,57
mean,606,57
bring,607,57
whom,608,57
threat,609,57
perhaps,610,57
access,611,57
together,612,56
parties,613,56
birth,614,56
greater,615,56
released,616,56
everyone,617,56
unions,618,56
understand,619,56
markets,620,56
saying,621,56
serious,622,56
programs,623,56
bthe,624,55
culture,625,55
john,626,55
minister,627,55
probably,628,55
strategy,629,55
institutions,630,55
senate,631,55
cannot,632,55
wanted,633,55
needed,634,55
crime,635,55
soon,636,55
domestic,637,55
center,638,55
particularly,639,55
claim,640,55
experience,641,55
killed,642,55
west,643,55
religious,644,54
longer,645,54
moment,646,54
basic,647,54
environmental,648,54
close,649,54
despite,650,54
reduce,651,54
effort,652,54
growth,653,54
mostly,654,54
fight,655,53
focus,656,53
level,657,53
step,658,53
move,659,53
syria,660,53
started,661,53
statexexxs,662,53
constitution,663,53
general,664,53
room,665,53
fall,666,53
youxexxre,667,53
primary,668,53
play,669,53
rest,670,53
raise,671,52
wrong,672,52
oil,673,52
message,674,52
crimes,675,52
xexxca,676,52
sometimes,677,52
israeli,678,52
won,679,52
effect,680,52
moral,681,52
freedom,682,51
special,683,51
agreement,684,51
sure,685,51
south,686,51
quite,687,51
region,688,51
everything,689,51
book,690,51
himself,691,51
mayor,692,51
gave,693,50
actions,694,50
dec,695,50
challenge,696,50
defense,697,50
attack,698,50
common,699,50
governor,700,50
win,701,50
father,702,50
officers,703,50
science,704,50
changes,705,50
outside,706,50
wrote,707,50
century,708,49
comes,709,49
elections,710,49
career,711,49
sanctions,712,49
read,713,49
either,714,49
expected,715,49
spent,716,49
flint,717,49
democracy,718,48
share,719,48
truth,720,48
medical,721,48
cost,722,48
technology,723,48
george,724,48
budget,725,48
include,726,48
europe,727,48
director,728,48
iranian,729,48
create,730,48
emissions,731,47
ask,732,47
largely,733,47
worked,734,47
member,735,47
position,736,47
easy,737,47
rules,738,47
forces,739,47
secretary,740,47
commission,741,47
body,742,47
huge,743,47
independent,744,47
allowed,745,47
potential,746,47
return,747,46
answer,748,46
company,749,46
hand,750,46
mental,751,46
significant,752,46
hundreds,753,46
lower,754,46
lack,755,46
maybe,756,46
love,757,46
trade,758,46
conservatives,759,46
increasingly,760,46
anyone,761,45
gratitude,762,45
cut,763,45
nor,764,45
remain,765,45
failed,766,45
reality,767,45
mrs,768,45
held,769,45
jewish,770,45
hampshire,771,45
night,772,45
ideas,773,45
calls,774,45
quickly,775,45
paid,776,45
russia,777,45
russian,778,45
anxiety,779,45
certainly,780,45
average,781,45
certain,782,45
announced,783,45
heart,784,44
editor,785,44
review,786,44
passed,787,44
form,788,44
corporate,789,44
terrorism,790,44
goes,791,44
offer,792,44
enforcement,793,44
j,794,44
constitutional,795,44
wouldnxexxt,796,44
hear,797,44
allow,798,44
helped,799,44
critical,800,44
ones,801,44
british,802,44
turned,803,44
subject,804,44
safe,805,44
dangerous,806,44
improve,807,44
development,808,43
relations,809,43
beyond,810,43
gone,811,43
data,812,43
east,813,43
la,814,43
powerful,815,43
elected,816,43
dollars,817,43
wonxexxt,818,43
communities,819,43
shows,820,43
iranxexxs,821,43
yes,822,43
leading,823,43
natural,824,42
investment,825,42
iraq,826,42
quality,827,42
requires,828,42
hands,829,42
sort,830,42
living,831,42
proposed,832,42
council,833,42
word,834,42
arabia,835,42
tried,836,42
friend,837,42
release,838,42
treatment,839,42
assault,840,42
brought,841,42
myanmar,842,42
imagine,843,41
agree,844,41
challenges,845,41
peace,846,41
pain,847,41
questions,848,41
positive,849,41
leave,850,41
required,851,41
ensure,852,41
price,853,41
studies,854,41
influence,855,41
alone,856,41
goal,857,41
carbon,858,41
authorities,859,41
hospital,860,41
published,861,41
wasnxexxt,862,40
impact,863,40
sign,864,40
modern,865,40
employees,866,40
exactly,867,40
korea,868,40
bank,869,40
ground,870,40
ban,871,40
agency,872,40
final,873,40
leadership,874,40
sunday,875,40
nationxexxs,876,40
chinaxexxs,877,40
created,878,40
governments,879,40
failure,880,40
friends,881,40
arenxexxt,882,40
forced,883,40
reported,884,40
organization,885,39
san,886,39
opportunity,887,39
retirement,888,39
texas,889,39
head,890,39
dr,891,39
followed,892,39
diesel,893,39
pressure,894,39
editorial,895,39
looking,896,39
points,897,39
choice,898,39
november,899,39
argument,900,39
ready,901,39
saw,902,39
language,903,39
hold,904,39
although,905,39
mind,906,39
generation,907,38
christian,908,38
air,909,38
town,910,38
else,911,38
aid,912,38
mass,913,38
chance,914,38
residents,915,38
entire,916,38
avoid,917,38
success,918,38
cityxexxs,919,38
tv,920,38
beijing,921,38
suggests,922,38
near,923,38
willing,924,38
spend,925,38
thinking,926,38
clintonxexxs,927,38
ability,928,38
prices,929,38
nomination,930,38
armed,931,38
consider,932,38
writing,933,38
push,934,37
project,935,37
deaths,936,37
parliament,937,37
plans,938,37
largest,939,37
popular,940,37
gets,941,37
opposition,942,37
border,943,37
low,944,37
individuals,945,37
worth,946,37
child,947,37
emergency,948,37
palin,949,37
happen,950,37
difficult,951,37
worldxexxs,952,37
favor,953,37
abuse,954,37
brain,955,37
funding,956,37
lines,957,37
benefit,958,37
french,959,37
highly,960,37
racial,961,37
amendment,962,37
felt,963,37
xexxcwe,964,37
remains,965,36
six,966,36
planned,967,36
buy,968,36
involved,969,36
proposal,970,36
watch,971,36
save,972,36
changed,973,36
ba,974,36
figure,975,36
convicted,976,36
