UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,YEAR,QUARTER,CURR_ASSETS,FLIGHT_EQUIP,ASSETS,CURR_LIABILITIES,NON_REC_LIAB,DEF_CREDITS
U5,USA 3000 Airlines,U5,USA 3000 Airlines,2010,4,16406.05,18737.31,24183.51,27491.9,18300,637.97
NC,Northern Air Cargo Inc.,HU,Northern Air Cargo Inc.,1995,1,10056.42,4001.73,11072.83,1643.16,,
PT (1),Capital Cargo International,CCQ,Capital Cargo International,2001,4,10771,37659,44808,9389,31821,
NK,Spirit Air Lines,NK,Spirit Air Lines,2006,2,55905.97,13330.93,145745.08,136017.26,99591.17,2156.65
JW,Arrow Air Inc.,JW,Arrow Air Inc.,1991,4,14074.73,3174.88,19479.95,8169.81,,
FF,Tower Air Inc.,FF,Tower Air Inc.,1997,2,42540,360886,281018,153749,62064,13731
RD,Ryan International Airlines,RYQ,Ryan International Airlines,1996,1,7240.04,10042.29,7629.53,6691.52,,
GL,Miami Air International,GL,Miami Air International,2015,3,17276.57,9956.77,23301.87,16384.07,1764.24,
GL,Miami Air International,GL,Miami Air International,2015,2,18851.99,9157.53,24345.56,16341.82,1571.1,
TZ,ATA Airlines d/b/a ATA,TZ,American Trans Air Inc.,1998,3,162933.62,547947.19,504171.37,217866.32,174261.74,62587.1
WE,Centurion Cargo Inc.,WE,Centurion Cargo Inc.,2009,4,35983.15,,60926.92,54434.91,5166.96,
JW,Arrow Air Inc.,JW,Arrow Air Inc.,1995,3,13093.95,4497.51,15112.5,11152.43,3100,
NJ,Vanguard Airlines Inc.,NJ,Vanguard Airlines Inc.,2000,1,16415.18,8379.6,38561.98,38889.56,5467.74,
U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2010,4,42688.49,118295.71,58243.66,27601.67,18173.33,2300
M6,Amerijet International,M6,Amerijet International,1998,4,17646.18,60041.29,76460.87,19825.33,31545.78,
CP,Compass Airlines,CP,Compass Airlines,2011,2,10382.4,3637.72,29055.21,7575.71,1532.88,0
JW,Arrow Air Inc.,JW,Arrow Air Inc.,1997,3,14089.64,4592.44,16692.18,20999.85,5988.14,
UA,United Air Lines Inc.,UA,United Air Lines Inc.,1996,1,2375725,7713053,11555291,4742254,5289966,1254133
WI,Sky Lease Cargo,WI,Tradewinds Airlines,2004,1,20104.34,5752.86,25879.23,8707.35,20339.5,
SAQ,Southern Air Transport Inc.,SAQ,Southern Air Transport Inc.,1994,1,51460.55,154012.06,120253.13,12510.59,31364.4,
5X,United Parcel Service,5X,United Parcel Service,1998,3,361121,6015257,5380492,209687,2975245,1253280
