UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,YEAR,QUARTER,CURR_ASSETS,FLIGHT_EQUIP,ASSETS,CURR_LIABILITIES,NON_REC_LIAB,DEF_CREDITS
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1991,1,12257.73,67160.35,71798.32,28333.86,19320.6,4860.86
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1991,2,12236.04,67157.16,70741.93,26826.4,19281.08,4860.86
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1991,3,12760.9,67532.33,70322.58,44137.58,1077.95,4860.86
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1991,4,11634.85,68891.16,72244.55,42852.95,772.31,8248.4
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1992,1,12072.86,70990.19,72355.8,41091.27,904.34,8248.4
HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,1992,2,44919.18,56051.6,121628.09,235510.48,121453.98,382.81
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1992,2,9722.16,74298.65,70668.93,37923.43,1037.05,8248.4
HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,1992,3,41604.72,57680.28,108065.77,197614.02,119215.74,359.66
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1992,3,11237.79,74671.26,73615.27,41300.33,1169.56,8248.4
HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,1992,4,39425.14,52295.59,109060.19,203964.68,69426.19,3110.96
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1992,4,11250.67,75498.32,78554.88,45616.6,333.39,10217.62
MQ,Envoy Air,MQ,Simmons Airlines,1993,1,34387.24,56353.39,126852.08,89320.26,6318.77,10680.34
5J (1),Private Jet Expeditions,PJQ,Private Jet Expeditions,1993,1,13916.44,,18805.17,13500.55,2889.4,
HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,1993,1,36107.93,47294.73,108579.63,211550.55,66834.78,2946.4
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1993,1,11834.07,77039.73,75518.89,41356.88,499.56,10217.62
MQ,Envoy Air,MQ,Simmons Airlines,1993,2,32353.07,99447.65,123231.2,84038.14,5288.72,10390.56
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1993,2,16290.28,77678.53,79319.2,42435.84,666.7,10217.62
MQ,Envoy Air,MQ,Simmons Airlines,1993,3,31023.98,98661.57,116354.14,71949.62,5279.58,10962.49
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1993,4,19305.37,78566.07,81536.19,38364.78,325.91,11783.69
MQ,Envoy Air,MQ,Simmons Airlines,1993,4,33736.7,101410.84,121249.47,57860.94,4193.04,30264.42
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1994,1,43671.24,79007.91,110545.89,65453.87,325.91,11783.69
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1994,2,27761.29,79072.26,87667.69,40428.73,325.91,11783.69
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1994,3,27394.99,80232.23,88108.5,39711.28,325.91,11783.69
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1994,4,30896.04,81292.32,91863.87,41987.57,325.91,12671.22
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,1994,4,46593.68,610774.25,529938.55,330818.61,212699.72,-6772.58
TB (1),USAir Shuttle,TB,USAir Shuttle,1994,4,8710.53,37476.72,134458.31,22611.45,182789.7,2831.46
MQ,Envoy Air,MQ,Simmons Airlines,1994,4,159504.04,103291.77,242005.15,205106.62,1844.56,21654.54
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1995,1,36873.18,84005.02,96322.12,44676.16,325.91,12671.22
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,1995,1,33629.19,576326.94,514304.66,309190.87,201322.51,-29.05
XE,ExpressJet Airlines Inc. (1),RU,ExpressJet Airlines Inc.,1995,1,51174,30628,78658,160980,1069,3138
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1995,2,53337.41,84845.91,112172.74,53117.92,325.91,12880.29
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,1995,2,32803.45,570978.63,506691.86,305861.09,211971.44,-4258.64
XE,ExpressJet Airlines Inc. (1),RU,ExpressJet Airlines Inc.,1995,2,56947,37438,90863,155535,8556,2272
HCQ,Av Atlantic,HCQ,Av Atlantic,1996,1,1271.14,,2866.4,2819.74,34.68,
HCQ,Av Atlantic,HCQ,Av Atlantic,1996,2,598.01,,2153.35,3921.76,33.03,
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,1996,3,27117.14,559466.43,469691.63,192920.98,249842.62,25416.39
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,1997,1,24298.53,571688.19,473167.31,74110.22,382016.94,21901.24
,,U7,,1997,1,8681.48,39790.24,37950.42,8983.66,32692.31,
JKQ,Express One International Inc.,JKQ,Express One International Inc.,1997,3,16625.21,81902.71,70453.62,13719.35,33944.09,6312
GL,Miami Air International,MMQ,Miami Air International,1998,4,13769.01,29229.85,44052.48,18130.52,17540.15,
XE,ExpressJet Airlines Inc. (1),RU,ExpressJet Airlines Inc.,1998,4,128808,170145,328313,118426,106821,45466
QQ,Reno Air Inc.,QQ,Reno Air Inc.,1999,3,47801,69603,142123,86624,12281,4027
ER,"Astar USA, LLC",ER,DHL Airways,2000,1,232957.2,336136.73,513036.05,223261.22,133539.37,23136.94
ER,"Astar USA, LLC",ER,DHL Airways,2000,2,242824.78,348103.47,534257.22,234665.23,151838.13,22819.7
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2000,3,7201.59,48892.59,46535.21,9116.49,41643,500
ER,"Astar USA, LLC",ER,DHL Airways,2000,3,228464.56,202487.49,540189.77,238673.59,168478.43,22721.65
GL,Miami Air International,MMQ,Miami Air International,2000,4,13843.96,64362.34,53889.47,30678.5,19942.51,
ER,"Astar USA, LLC",ER,DHL Airways,2000,4,268554.87,306384.2,621671.17,218432.83,318539.55,23808.6
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2000,4,4558.47,50556.2,43724.16,9236.99,37596.59,482.28
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2001,1,5080.44,51071.94,43598.74,9241.49,36518.09,484.28
ER,"Astar USA, LLC",ER,DHL Airways,2001,1,210585.85,333685.62,620174.13,174917.52,410576.08,23761.64
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2001,2,5524.33,51717.29,42868.69,10173.96,33592.19,475.3
ER,"Astar USA, LLC",ER,DHL Airways,2001,2,206287.37,,470187.19,395807.21,73326.8,23761.64
RLQ,Reliant Airlines,RLQ,Reliant Airlines,2001,2,,,0,,,0
M6,Amerijet International,M6,Amerijet International,2001,3,16490.35,95186.07,78343.36,17798.35,58188.27,
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2001,3,4246.67,52815.61,41126.9,10356.49,30640.23,461.52
8C,Air Transport International,8C,Air Transport International,2001,4,15317.58,66934.92,72527.6,35817.18,35690.3,
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2001,4,9308.08,53889.39,45540.13,11348.04,29992.52,506.35
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2002,1,5564.48,54630.83,41109.3,10850.38,23162.9,509.35
8C,Air Transport International,8C,Air Transport International,2002,3,37810.48,86571.28,88197.03,39470.43,28979.19,
8C,Air Transport International,8C,Air Transport International,2003,2,48348.82,131.45,109014.64,33805.16,38728.92,
8C,Air Transport International,8C,Air Transport International,2003,1,38087.65,86712.2,105938.18,69707.24,6522.92,
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2002,4,6957.8,60974.52,44290.5,9933.82,18499.73,506.97
8C,Air Transport International,8C,Air Transport International,2002,4,34552.96,86054.94,109120.47,68973.94,13451.34,
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2003,2,9716.12,66494.32,49017.38,10709.79,17711.71,9.02
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2003,1,4042.99,63498.22,42098.53,10876.54,12319.84,9.82
8C,Air Transport International,8C,Air Transport International,2003,4,62807.11,81381.33,124317.58,42794.51,31064.35,
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2003,3,7779.47,68883.06,48034.38,11201.44,14699.84,10.02
8C,Air Transport International,8C,Air Transport International,2004,1,75470.22,70539.46,131785.44,51721.05,23630.17,
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2004,1,7155.29,74605.19,49691.52,9022.05,13922.89,-2.18
NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,2003,4,6452.99,21165.08,16103.83,6229.79,2242,
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2003,4,5817.25,70709.93,46100.5,10564.77,11947.81,-2.18
8C,Air Transport International,8C,Air Transport International,2003,3,58290.23,52987.48,111920.65,38260.69,35492.31,
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2005,2,8768.49,93679,61562.07,13386.94,7531.86,-32.75
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2005,4,9430.7,94627.3,59220.89,12931.97,5341.08,-3
G7,GoJet Airlines LLC d/b/a United Express,G7,GoJet Airlines LLC d/b/a United Express,2005,4,6003.62,66679.21,77541.27,79909.49,,
G7,GoJet Airlines LLC d/b/a United Express,G7,GoJet Airlines LLC d/b/a United Express,2006,1,6835.02,92033.98,104971.03,103201.63,2458.88,
G7,GoJet Airlines LLC d/b/a United Express,G7,GoJet Airlines LLC d/b/a United Express,2006,2,9205.13,92021.88,106857.88,102537.38,2301.93,2361.04
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2006,3,13836.78,97995.88,69258.78,21869.1,71.59,-28.8
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2006,4,11311.82,98814.68,59236.69,6087.96,343.64,-100.51
G7,GoJet Airlines LLC d/b/a United Express,G7,GoJet Airlines LLC d/b/a United Express,2006,3,15418.32,92244.82,110080.52,19689.38,84849.4,2299.58
NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,2007,1,4693.88,4230.35,33374.33,8630.44,,
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2007,2,13928.7,100565.57,61581.31,9311.44,503.25,-18
PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,2007,2,55706.71,,58136.27,32249.11,28035.16,
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2007,3,10482.22,101370.23,56155.57,10241.37,418.8,-12
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2007,4,14251.06,101994.76,60642.98,13899.88,424.21,-6
NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,2010,1,6267.09,23674.14,31260.94,11387.33,358.13,
NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,2010,2,10303.29,23717.48,33654.39,12032.59,380.73,
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2010,2,11289.7,122332.64,55163.21,10554.62,-6616.94,-32.81
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2008,2,13427.39,103977.25,60767.59,11760.25,1015.03,-16
NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,2009,4,6266.02,23415.31,32320.5,11891.12,331.15,
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2009,3,8964.93,116647.79,52246.04,9163.06,-3290.03,-21.04
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2009,4,6855.3,116886.54,48628.9,5776.36,587.21,-8.81
SLQ,Sky King Inc.,SLQ,Sky King Inc.,2013,1,,,,12031.97,12772.28,0
SLQ,Sky King Inc.,SLQ,Sky King Inc.,2013,2,,,,12614.97,12772.28,0
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2010,1,3349109,13656217,14239329,2917615,3330651,2455290
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2001,3,1759258,7134466,8006551,1939345,774257,1343289
UA,United Air Lines Inc.,UA,United Air Lines Inc.,2002,3,3987168,15325991,25374617,6967588,14610807,768631
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2009,3,2780718,13592963,13735206,3023906,3402417,2091669
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2008,2,8968210,13546153,23262160,8374205,2619349,3538676
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2002,3,2368988,7711409,8967191,1452791,1685492,1506126
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2007,1,3036696,11873124,14238369,3524084,1587215,2572833
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2008,1,5088108,13240063,18030701,5781930,2108579,2956367
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2009,2,2767053,13522444,13662548,3068426,3299340,2147004
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2005,1,3237434,10170666,13254085,2879569,1954691,2304914
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2010,3,3979341,13849548,15079827,3186951,3414896,2527410
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2001,4,2526014,7351402,9007834,2249878,1350844,1393059
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2003,3,2431336,8320523,9711263,1584086,1551814,1707523
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2010,2,3718998,13755713,14734976,3338370,3376860,2471613
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2009,1,2667787,13482765,13814628,3122688,3446748,2317442
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2006,2,4395731,10979265,15343713,4684981,1379535,2326801
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2003,2,2588835,8023555,9650884,1670450,1564725,1678832
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2008,3,5339496,13718494,18174980,5587286,2607372,2916417
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2004,3,2877997,9546692,11741988,2416836,1633733,2187641
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2007,2,3345433,12161901,14852715,4085341,1550509,2789984
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2005,4,3655890,10821122,14218134,3847836,1423525,2272249
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2013,2,4577334,16636076,19095275,5778736,2812425,3722798
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2004,1,2405250,8600099,10281944,2191849,1299325,1765771
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2003,1,2281638,7924552,9115900,1559095,1569600,1527839
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1998,3,656686,4205584,4590188,900110,621999,797407
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2006,4,2638437,11601073,13460355,2886915,1600430,2524077
UA,United Air Lines Inc.,UA,United Air Lines Inc.,2006,2,6765966,8578616,26203076,8121545,15411370,667168
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2004,2,2477637,9047618,10824265,2320837,1267708,1982414
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2009,4,3084388,13551693,13978171,2676731,3350039,2485952
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2006,3,3339001,11400419,14086619,3944100,1306667,2212248
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2002,2,2478589,7665835,9058197,1697315,1683778,1453526
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2010,4,4064704,13859141,15249337,3303809,2921606,2786488
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2001,1,1049350,6925633,7075724,1498292,766265,1169061
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1999,4,636372,5585917,5660779,969131,877496,978364
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1996,4,745937,3109312,3724303,766229,650226,659537
UA,United Air Lines Inc.,UA,United Air Lines Inc.,2008,3,6082809,8152718,20840267,7843761,13757485,618218
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1995,3,546979,2540294,3233964,632462,671065,548299
UA,United Air Lines Inc.,UA,United Air Lines Inc.,2006,4,6320718,8920145,25581196,8170394,14533416,639433
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2000,1,810317,5701745,5948312,1314610,873846,946636
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2007,4,4481794,12850703,16771684,4838190,2083556,2908945
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2002,4,2237729,7841621,8964388,1444467,1578000,1520304
EV,ExpressJet Airlines Inc.,EV,ExpressJet Airlines Inc.,2016,2,16868.41,70346.94,88305.85,5950.47,44236.57,31394.06
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2005,3,4111671,10607644,14746266,3457644,1890797,2641948
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2000,4,839435,6649372,6682023,1310854,773198,1146651
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1999,3,485449,5310516,5317375,1001126,618342,896665
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2008,4,2565826,13554443,13943225,2806455,3520383,2664436
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1997,3,760235,3648261,4151735,908331,632143,703811
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1998,1,722117,3870937,4346515,893598,624775,732509
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2001,2,1334939,7059275,7479065,1639722,764343,1253446
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2006,1,4128962,10623731,14722658,4448587,1397845,2111317
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1999,1,614731,4743024,4970814,1029976,619067,811773
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1994,3,420692,2167679,2773275,531052,584103,442706
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2003,4,2318258,8455011,9888705,1733209,1359573,1743773
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2000,2,899058,6009229,6262812,1330544,874053,1048669
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2004,4,2152742,9841411,11324017,2129225,1729615,1941207
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1995,4,473912,2703402,3259777,614275,661010,557174
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1998,4,556854,4449502,4705236,839892,623310,844116
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2005,2,3484205,10436161,13779326,3141362,1891535,2429055
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1999,2,712281,4940399,5282564,1108038,617207,884362
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1995,1,331148,2423318,3000369,599815,675950,472964
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1994,1,363652,2022224,2561499,476520,588113,399784
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2007,3,2909273,12529914,14523754,3825673,1590024,2839036
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2002,1,2451836,7471962,8979973,1754381,1725009,1389464
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1995,2,557676,2387209,3182277,679001,673980,516598
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1993,3,374506,1927996,2389491,430392,592553,387462
5X,United Parcel Service,5X,United Parcel Service,1992,4,223869,2501097,2186469,134090,586418,744359
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1996,1,501853,2854301,3372483,685118,657263,563830
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2000,3,865491,6282596,6456967,1393209,776061,1077177
5X,United Parcel Service,5X,United Parcel Service,2010,2,206121,10054149,9275713,652745,2260831,2619059
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1994,2,241922,2243217,2654164,508082,586719,403168
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1994,4,308419,2240581,2810122,509324,583070,479022
UA,United Air Lines Inc.,UA,United Air Lines Inc.,2007,4,6140196,9263495,24235778,7942575,13031527,595821
5X,United Parcel Service,5X,United Parcel Service,1993,4,379969,2936940,2681437,147233,995779,793431
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1992,3,387791.13,1688187.57,2222634.55,369426.48,701637.02,324738.89
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1993,4,368318,1935614,2424543,410866,591167,400060
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,2012,4,3981683,16322223,18350707,4650539,3058581,3649866
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1992,1,404623.96,1410645.08,2043611,305659.08,611767.36,348645.94
JW,Arrow Air Inc.,JW,Arrow Air Inc.,2007,2,34424,,69439,29694,35848,
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1991,3,295771.71,1291119.81,1737569.62,260136.65,518592.26,338608.21
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1991,2,209235.3,1216439.71,1594316.45,247094.95,421092.32,321003.8
UA,United Air Lines Inc.,UA,United Air Lines Inc.,2006,3,6572243,8857724,26045060,7470966,15696188,704971
ML (1),Midway Airlines Inc. (1),ML,Midway Airlines Inc.,1990,1,96927.49,267468.48,472811.43,199176.72,148310.83,38279.29
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1991,4,333316.34,1353912.88,1839017.1,262869.76,615765.9,331859.67
XJ,Mesaba Airlines,XJ,Mesaba Airlines,2000,2,140105.79,57500.3,216498.18,46839.19,3752.86,13460.26
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,2010,2,31185.14,750843.27,436549.3,81817.56,49491.12,125903.35
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1998,2,777609,4085963,4575672,938488,622616,780759
XE,ExpressJet Airlines Inc. (1),XE,ExpressJet Airlines Inc.,2011,4,-9061.79,115.35,-10134.38,-10020.62,287.43,4242.17
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,2011,2,48047.42,732610.7,413449.04,85824.19,39264.64,102203
XJ,Mesaba Airlines,XJ,Mesaba Airlines,2000,3,145395.97,61347.02,222223.54,44849.08,3636.99,12416.86
XJ,Mesaba Airlines,XJ,Mesaba Airlines,1999,3,117137.36,51811.4,194269.47,46841.81,4149.26,15398.64
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1990,3,195783.13,1115346.1,1487660.24,219631.21,333249.86,324380.17
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1992,2,319805.86,1637063.03,2103821.9,357629.41,607980.1,337559.39
XJ,Mesaba Airlines,XJ,Mesaba Airlines,2000,1,131662.34,55445.75,205127.43,43722.92,3929.84,14661.64
CDQ,Kitty Hawk International,CDQ,American International Airways Inc.,1998,4,187189.58,450314.88,690579.26,121791.71,427577.5,87246.21
XJ,Mesaba Airlines,XJ,Mesaba Airlines,2000,4,138554.18,65499.5,216147.45,37590.58,3518.56,11373.46
ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Inc.,1991,2,46132.31,218803.99,272512.05,49671.56,130948.83,7648.82
JW,Arrow Air Inc.,JW,Arrow Air Inc.,2007,1,32968,,68099,30186,35401,
XJ,Mesaba Airlines,XJ,Mesaba Airlines,1998,4,107471.82,35327.71,172706.01,50907.15,4459.9,15891.27
8C,Air Transport International,8C,Air Transport International,2000,2,16449.79,17879.38,118535.21,71625.26,14750.85,
CDQ,Kitty Hawk International,CDQ,American International Airways Inc.,1996,2,56732.74,293588.5,317527.18,141005.74,137561.61,
CDQ,Kitty Hawk International,CDQ,American International Airways Inc.,1995,4,92825.89,255354.59,340210.72,159823.58,130464.9,
8C,Air Transport International,8C,Air Transport International,2000,1,81252.04,20385.38,185168.51,127377.81,26729.28,
AX,Trans States Airlines,AX,Trans States Airlines,2006,4,50959.09,132824.04,173787.61,34583.86,91201.26,230.09
CDQ,Kitty Hawk International,CDQ,American International Airways Inc.,1997,1,55494.14,321430,319154.43,150291.95,145582.82,
CDQ,Kitty Hawk International,CDQ,Kitty Hawk International,1999,1,213832.58,450897.08,720560.72,112382.85,471451.34,87246.21
ML (1),Midway Airlines Inc. (1),ML,Midway Airlines Inc.,1990,4,119735,189988,319088,214021,111277,25158
8C,Air Transport International,8C,Air Transport International,2001,1,8088.03,84036.05,75115.44,71363.25,24001.08,
U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2012,2,47573.49,8120.09,78354.15,45018.08,8322.39,8267.62
TNQ,Emery Worldwide Airlines,TNQ,Emery Worldwide Airlines,1996,4,45781.83,397121.84,235693.79,41847.65,102091.99,72984.68
HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,1991,1,47849.55,58382.11,135567.43,231729.02,23661.4,2054.69
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,1991,3,21684.58,650230.53,594691.34,117341.31,406187.67,17962.22
JW,Arrow Air Inc.,JW,Arrow Air Inc.,2006,2,28816,,68300,53038,17485,
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,1991,2,26764.25,606206.35,566452.17,90023.96,405143.39,17987.34
ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Inc.,1990,4,38191.95,179184.45,226880.52,31102.55,91035.78,13772.25
CDQ,Kitty Hawk International,CDQ,American International Airways Inc.,1997,2,56765.86,326713.91,319713.84,166975.2,142689.64,
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,1990,2,47314.43,430547.05,504540.56,117294,335006.34,14277.24
ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Inc.,1991,3,46469.12,242629.02,278866.63,60351.63,144883.09,3629.15
KR,Kitty Hawk Aircargo,KR,Kitty Hawk Aircargo,1999,3,43443.52,244347.85,285838.84,43084.99,162571.58,
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1990,2,124962.83,1184517.72,1446817.99,238843.02,340732.36,275339.5
CDQ,Kitty Hawk International,CDQ,American International Airways Inc.,1996,3,60040.08,305466.87,327825.99,142005.5,140693.64,
AX,Trans States Airlines,AX,Trans States Airlines,2006,3,54882.4,132814.78,178648.63,31259.28,91849.83,249.36
U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2012,4,39084.41,9029.82,68488.88,42685.32,15940,7715.52
KR,Kitty Hawk Aircargo,KR,Kitty Hawk Aircargo,1999,4,61327.14,250048.5,349316.96,72932.7,189552.21,
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,2011,3,47796.52,736701.31,414213.06,80003.43,58149.06,97837.82
0JQ,Vision Airlines,0JQ,Vision Airlines,2013,1,7375.8,0,19024.99,30508.93,7422.4,0
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1990,4,149527.06,1172660.32,1470382.07,225851.55,325706.17,313973.06
CDQ,Kitty Hawk International,CDQ,American International Airways Inc.,1996,1,53972.88,278983.06,298104.29,130636.35,132649.24,
WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,1991,1,223248.37,1157126.75,1554001.93,215168.06,422709.76,320529.67
KR,Kitty Hawk Aircargo,KR,Kitty Hawk Aircargo,2000,1,53442.51,253460.92,348847.15,56874.34,208630.54,
8C,Air Transport International,8C,Air Transport International,2002,1,9109.05,85409.7,63656.09,24816.14,33868.06,
XJ,Mesaba Airlines,XJ,Mesaba Airlines,1999,4,128115.33,53317.13,203482.86,48214.18,4040.72,15220.64
XJ,Mesaba Airlines,XJ,Mesaba Airlines,1998,2,101070.41,28553.84,159456.11,48507.55,4656.06,14724.03
