word,count,freq
new,477,30
appear,478,30
daughter,479,30
entirely,480,30
meeting,481,30
added,482,30
directly,483,30
character,484,29
thoughts,485,29
dixon,486,29
danger,487,29
necessary,488,29
wrong,489,29
yourself,490,29
taylor,491,28
pleasant,492,28
amiable,493,28
object,494,28
creature,495,28
anxious,496,28
head,497,28
sometimes,498,28
afterwards,499,28
within,500,28
excellent,501,28
maple,502,28
seem,503,28
taste,504,28
herand,505,28
letters,506,27
serious,507,27
says,508,27
expected,509,27
continued,510,27
bodys,511,27
handsome,512,27
meet,513,27
girl,514,27
received,515,27
knows,516,27
meaning,517,27
pass,518,27
spoken,519,27
fancy,520,26
returned,521,26
pain,522,26
circumstance,523,26
begin,524,26
hershe,525,26
absolutely,526,26
probably,527,26
greater,528,26
forward,529,26
common,530,26
whose,531,26
campbell,532,26
please,533,26
campbells,534,26
praise,535,26
shew,536,26
turned,537,25
difficulty,538,25
papa,539,25
small,540,25
second,541,25
interesting,542,25
worth,543,25
warm,544,25
resolution,545,25
dancing,546,25
fairfaxs,547,25
times,548,25
neither,549,25
fair,550,25
kindness,551,25
engaged,552,25
perfect,553,25
ten,554,25
enscombe,555,25
pity,556,25
company,557,25
beauty,558,25
thank,559,25
convinced,560,24
attentions,561,24
actually,562,24
week,563,24
greatest,564,24
surprize,565,24
nature,566,24
judgment,567,24
hearing,568,24
lived,569,24
husband,570,24
hours,571,24
robert,572,23
seems,573,23
comfortable,574,23
except,575,23
ashamed,576,23
join,577,23
face,578,23
months,579,23
easy,580,23
merely,581,23
itbut,582,23
goddards,583,23
health,584,23
sister,585,23
loved,586,23
completely,587,23
obliging,588,23
decided,589,23
charming,590,23
marriage,591,23
fortune,592,23
temper,593,23
supposed,594,23
sensible,595,23
night,596,23
turn,597,23
fortunate,598,22
pay,599,22
delighted,600,22
matter,601,22
couldnot,602,22
wanting,603,22
observe,604,22
appearance,605,22
spite,606,22
impossible,607,22
tried,608,22
determined,609,22
judge,610,22
difference,611,22
resolved,612,22
elegant,613,22
circumstances,614,22
late,615,22
regret,616,22
forget,617,22
evil,618,22
acquainted,619,22
mei,620,22
taking,621,22
himand,622,21
smiling,623,21
wait,624,21
case,625,21
year,626,21
itand,627,21
men,628,21
none,629,21
cheerful,630,21
view,631,21
looks,632,21
martins,633,21
advantage,634,21
gratitude,635,21
style,636,21
followed,637,21
box,638,21
struck,639,21
iti,640,21
mentioned,641,21
sad,642,21
crown,643,21
yesterday,644,21
understood,645,21
silent,646,21
telling,647,20
agreed,648,20
scheme,649,20
send,650,20
persuaded,651,20
generally,652,20
worse,653,20
aware,654,20
surprized,655,20
marrying,656,20
moments,657,20
led,658,20
certain,659,20
themselves,660,20
grove,661,20
thinks,662,20
batess,663,20
dance,664,20
secret,665,20
compliment,666,20
understanding,667,20
quiet,668,20
honour,669,20
standing,670,20
knowledge,671,20
spirit,672,20
notice,673,19
fact,674,19
plan,675,19
goddard,676,19
abbey,677,19
clever,678,19
due,679,19
match,680,19
caught,681,19
knowing,682,19
excuse,683,19
blush,684,19
entered,685,19
stand,686,19
disposition,687,19
hill,688,19
purpose,689,19
ball,690,19
calling,691,19
curiosity,692,19
loss,693,19
chuse,694,19
eye,695,19
coles,696,19
instead,697,19
town,698,18
companion,699,18
written,700,18
odd,701,18
influence,702,18
uncle,703,18
became,704,18
hers,705,18
justice,706,18
fixed,707,18
distance,708,18
makes,709,18
kept,710,18
highly,711,18
sight,712,18
busy,713,18
comes,714,18
try,715,18
vain,716,18
past,717,18
claims,718,18
mine,719,18
hopes,720,18
happened,721,18
spend,722,18
weeks,723,18
tone,724,18
whenever,725,18
depend,726,18
write,727,18
respectable,728,18
hands,729,18
hurry,730,18
single,731,18
consequence,732,17
high,733,17
scarcely,734,17
consideration,735,17
service,736,17
table,737,17
smallest,738,17
quick,739,17
turning,740,17
allthe,741,17
gentleman,742,17
satisfaction,743,17
attempt,744,17
mustbe,745,17
eager,746,17
four,747,17
simple,748,17
dearest,749,17
attached,750,17
rain,751,17
conduct,752,17
sigh,753,17
severe,754,17
thrown,755,17
also,756,17
reasonable,757,17
information,758,17
lose,759,17
regular,760,17
altogether,761,17
ago,762,17
trying,763,17
favourite,764,17
arrived,765,17
promise,766,17
useful,767,17
engagement,768,16
joy,769,16
beautiful,770,16
gentlemen,771,16
safely,772,16
occasion,773,16
spent,774,16
disposed,775,16
behaviour,776,16
especially,777,16
reached,778,16
thoroughly,779,16
likeness,780,16
wouldnot,781,16
imagined,782,16
daughters,783,16
paid,784,16
distress,785,16
horses,786,16
run,787,16
favour,788,16
smiled,789,16
connexion,790,16
sake,791,16
ofthe,792,16
pleasing,793,16
history,794,16
offer,795,16
finding,796,16
admiration,797,16
suspect,798,16
prevent,799,16
lost,800,16
country,801,16
note,802,16
equally,803,16
considering,804,16
couple,805,16
delight,806,15
safe,807,15
alone,808,15
william,809,15
work,810,15
james,811,15
besides,812,15
promised,813,15
observed,814,15
minute,815,15
pride,816,15
deserve,817,15
angry,818,15
worthy,819,15
mere,820,15
complete,821,15
gives,822,15
miles,823,15
invitation,824,15
women,825,15
shewed,826,15
live,827,15
road,828,15
ease,829,15
wishes,830,15
move,831,15
cut,832,15
tea,833,15
quarter,834,15
consciousness,835,15
forgotten,836,15
growing,837,15
charge,838,15
approbation,839,15
passing,840,15
fault,841,15
hint,842,15
wishing,843,15
recommend,844,15
henry,845,15
wrote,846,15
friendship,847,15
today,848,15
sucha,849,15
age,850,15
janes,851,15
suspicion,852,14
hadbeen,853,14
rich,854,14
totally,855,14
intimacy,856,14
expect,857,14
fortnight,858,14
former,859,14
encouragement,860,14
lines,861,14
pianoforte,862,14
anxiety,863,14
mans,864,14
slight,865,14
sisters,866,14
views,867,14
compliments,868,14
agree,869,14
event,870,14
duty,871,14
waiting,872,14
goodwill,873,14
lately,874,14
wouldbe,875,14
youi,876,14
charade,877,14
period,878,14
